iter	RMSE
0	0.4448478117
1	0.4386035686
2	0.4331427321
3	0.4268269257
4	0.4198441417
5	0.4154068415
6	0.4100683898
7	0.4043783257
8	0.3993737601
9	0.3935610072
10	0.3890709856
11	0.384046095
12	0.3786273048
13	0.3737851722
14	0.3692708532
15	0.3636292587
16	0.3594669455
17	0.3540981691
18	0.3489765676
19	0.344759673
20	0.3402407922
21	0.3360781714
22	0.3321260162
23	0.3277872721
24	0.3232565297
25	0.3193167319
26	0.3153512181
27	0.3114384873
28	0.3078416311
29	0.3042761455
30	0.3008123684
31	0.2974303124
32	0.293691735
33	0.2906594517
34	0.2875271388
35	0.2840810836
36	0.2827028475
37	0.2797225227
38	0.2768428713
39	0.2732264792
40	0.2710579091
41	0.2679833039
42	0.2653125759
43	0.2629373033
44	0.2600688543
45	0.2570980825
46	0.2545681559
47	0.2522411166
48	0.2495171663
49	0.2475967608
50	0.2457103752
51	0.2427897587
52	0.2407289679
53	0.2385241488
54	0.236787187
55	0.2349736233
56	0.2335594037
57	0.2319536055
58	0.23130419
59	0.229615656
60	0.2274910122
61	0.2258592163
62	0.2240367393
63	0.2224628801
64	0.2202683394
65	0.2187711532
66	0.2178568061
67	0.2155598561
68	0.2139354733
69	0.2125885643
70	0.2111750521
71	0.2087825644
72	0.2076255011
73	0.2068789512
74	0.205345327
75	0.2044302019
76	0.2028766556
77	0.2021593917
78	0.2005351003
79	0.1989066314
80	0.1971773617
81	0.1962655021
82	0.1946172341
83	0.1937491919
84	0.1923710088
85	0.191506734
86	0.1908943456
87	0.1898336285
88	0.1881140488
89	0.1869418195
90	0.1861505886
91	0.1854100612
92	0.1844647492
