iter	Passed	Remaining
0	50	50188
1	64	32077
2	77	25846
3	90	22447
4	110	21928
5	119	19845
6	131	18690
7	143	17789
8	175	19376
9	193	19193
10	202	18212
11	243	20077
12	264	20047
13	274	19355
14	290	19058
15	302	18579
16	316	18296
17	337	18389
18	347	17935
19	359	17591
20	369	17240
21	379	16853
22	388	16490
23	397	16157
24	410	16023
25	419	15721
26	432	15598
27	443	15378
28	455	15266
29	473	15303
30	490	15327
31	514	15563
32	535	15696
33	543	15442
34	553	15250
35	563	15079
36	572	14905
37	588	14891
38	597	14731
39	611	14682
40	621	14529
41	631	14399
42	638	14215
43	655	14241
44	667	14170
45	677	14047
46	687	13939
47	696	13817
48	711	13804
49	723	13747
50	737	13717
51	754	13758
52	764	13651
53	780	13677
54	795	13665
55	808	13634
56	819	13554
57	828	13448
58	838	13371
59	852	13353
60	862	13272
61	872	13193
62	881	13114
63	892	13055
64	902	12984
65	913	12930
66	925	12886
67	938	12857
68	969	13075
69	993	13203
70	1025	13414
71	1053	13577
72	1078	13694
73	1100	13775
74	1130	13946
75	1149	13977
76	1158	13891
77	1168	13811
78	1178	13743
79	1190	13686
80	1200	13616
81	1217	13626
82	1227	13556
83	1238	13500
84	1249	13451
85	1264	13444
86	1284	13484
87	1302	13495
88	1322	13538
89	1342	13576
90	1370	13693
91	1385	13675
92	1399	13651
93	1422	13710
94	1450	13814
95	1479	13931
96	1498	13949
97	1517	13970
98	1527	13899
99	1543	13893
100	1563	13916
101	1579	13906
102	1595	13890
103	1608	13856
104	1624	13845
105	1634	13784
106	1649	13765
107	1670	13799
108	1681	13743
109	1691	13689
110	1703	13640
111	1716	13611
112	1729	13576
113	1741	13534
114	1756	13514
115	1767	13472
116	1782	13454
117	1793	13402
118	1807	13382
119	1824	13383
120	1836	13338
121	1848	13306
122	1862	13282
123	1875	13250
124	1889	13225
125	1902	13198
126	1913	13155
127	1932	13166
128	1948	13159
129	1961	13128
130	1975	13105
131	1988	13078
132	2004	13067
133	2018	13046
134	2031	13018
135	2062	13103
136	2107	13272
137	2157	13478
138	2205	13659
139	2223	13660
140	2235	13621
141	2253	13617
142	2267	13591
143	2278	13547
144	2291	13514
145	2303	13475
146	2319	13458
147	2344	13495
148	2374	13559
149	2426	13751
150	2457	13819
151	2498	13937
152	2528	13997
153	2538	13944
154	2554	13925
155	2571	13911
156	2592	13920
157	2603	13876
158	2622	13872
159	2646	13892
160	2669	13909
161	2691	13922
162	2713	13933
163	2739	13963
164	2761	13977
165	2786	14001
166	2810	14018
167	2841	14073
168	2863	14078
169	2878	14054
170	2899	14054
171	2919	14053
172	2935	14031
173	2954	14026
174	2968	13994
175	2985	13979
176	3003	13964
177	3027	13979
